ep_r,ep_r GRU,ep_r PG,ep_r PG GRU,alpha,alpha GRU,alpha PG,alpha PG GRU,step,step GRU,step PG,step PG GRU
140.8291626,143.6605225,136.6947632,134.7555542,0.106921926,0.056764409,0.07129097,0.074929334,12,9,18,9
140.4691315,148.126297,129.0926971,145.3401947,0.107543424,0.056992535,0.071300365,0.074558981,14,9,26,11
140.9179382,143.324707,136.7019958,146.2870941,0.10767331,0.057093821,0.071221821,0.074078403,12,9,20,10
135.0606689,147.4738007,-41.67119598,142.2017975,0.107523382,0.057161331,0.07064341,0.073953651,12,9,50,9
141.1403351,134.1935425,130.2410583,133.5965576,0.107168205,0.057391364,0.07049612,0.073676869,12,9,24,9
134.419754,133.866394,128.3063354,143.5311584,0.106867403,0.057695165,0.069879346,0.073193267,16,16,28,10
127.3555145,144.5101471,141.4462128,132.9535217,0.107315965,0.057862367,0.069344334,0.072998971,14,9,23,10
141.7117462,148.6394806,127.4491501,133.4972382,0.107457675,0.05796786,0.069270156,0.072801284,10,9,19,9
130.6517029,146.6543732,135.0828857,139.8326721,0.108219661,0.05827124,0.069179274,0.072270118,17,9,22,9
132.4936523,133.7444611,140.9914703,140.9112854,0.108807862,0.058486011,0.069607273,0.071901128,11,15,23,12
